City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Aksu,CN,88.93,Clouds,41.1231,80.2644,Pudong Holiday Hotel
5,Ambon,ID,77.14,Clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
11,Puerto Ayora,EC,78.76,Clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
12,Hithadhoo,MV,81.07,Rain,-0.6,73.0833,Scoop Guest House
13,Atuona,PF,78.15,Clouds,-9.8,-139.0333,Villa Enata
14,Georgetown,MY,83.89,Clouds,5.4112,100.3354,Cititel Penang
16,Bubaque,GW,81.18,Clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
17,Tortoli,IT,84.97,Clear,39.9256,9.6572,Hotel La Bitta
20,Gat,IL,83.8,Clear,31.61,34.7642,OlusHome
25,Shingu,JP,77.92,Clouds,33.7333,135.9833,Shingu UI Hotel
34,Muroto,JP,79.0,Clouds,33.2833,134.15,Oota Ryokan
35,Santa Rosalia,MX,88.81,Clear,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
36,Sabzevar,IR,83.77,Clear,36.2126,57.6819,پزشکی قانونی سبزوار
37,Allapalli,IN,76.62,Rain,19.4167,80.0667,Hotel IK Residency
40,Marsaxlokk,MT,84.81,Clear,35.8419,14.5431,Water's Edge
46,Portland,US,80.46,Clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
47,Cockburn Town,TC,85.96,Clouds,21.4612,-71.1419,Osprey Beach Hotel
48,Kapoeta,SS,76.57,Clouds,4.7717,33.5903,Eastgate Hotel
51,Ornskoldsvik,SE,77.95,Clear,63.2909,18.7153,ファーストホテル スタット
52,Lata,PT,81.05,Clear,40.1629,-8.3327,Casa Maquia
60,Yevlax,AZ,89.58,Clouds,40.6089,47.1492,Yevlax Şeher Heyder Eliyev Parki
61,Sao Joao Da Barra,BR,84.29,Clear,-21.6403,-41.0511,Pousada Porto De Canoas
62,Pokaran,IN,86.38,Clouds,26.9167,71.9167,Motel Pokaran - RTDC
67,Kutum,SD,76.26,Clouds,14.2,24.6667,Dibbo areaمنطقة دبو
69,Nanzhang,CN,75.65,Clear,31.7765,111.8386,Longmenkezhan
74,Cabedelo,BR,83.07,Clouds,-6.9811,-34.8339,Hotel Pigalle
75,Lakatoro,VU,76.14,Clouds,-16.0999,167.4164,Lakatoro Palm Lodge
77,Port Elizabeth,ZA,79.09,Clear,-33.918,25.5701,39 On Nile Guest House
80,Kapaa,US,79.12,Clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
100,Kavaratti,IN,81.77,Clouds,10.5669,72.642,Hotels in Lakshadweep Islands
102,Arauca,CO,83.77,Clouds,7.0847,-70.7591,Hotel Verano Plaza
103,Nikolskoye,RU,80.49,Clouds,59.7035,30.7861,Tourist House - Sablino
106,Gizo,SB,81.52,Clouds,-8.103,156.8419,Imagination Island
