City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Bambous Virieux,-20.3428,57.7575,66.45,94,75,14.97,MU,2021-07-27 17:49:41,Rain
1,Ushuaia,-54.8,-68.3,37.06,93,90,4.61,AR,2021-07-27 17:44:00,Clouds
2,Nioro,13.35,-15.75,87.51,58,66,9.95,GM,2021-07-27 17:49:42,Clouds
3,Aksu,41.1231,80.2644,88.93,28,61,11.83,CN,2021-07-27 17:49:42,Clouds
4,Cabo San Lucas,22.8909,-109.9124,97.52,66,7,5.01,MX,2021-07-27 17:49:42,Clear
5,Ambon,-3.6954,128.1814,77.14,100,40,3.44,ID,2021-07-27 17:49:42,Clouds
6,Pevek,69.7008,170.3133,33.96,93,100,14.63,RU,2021-07-27 17:49:43,Clouds
7,Bethel,41.3712,-73.414,91.35,52,1,1.01,US,2021-07-27 17:49:43,Clear
8,Emerald,-23.5333,148.1667,52.99,71,4,4.61,AU,2021-07-27 17:46:32,Clear
9,Busselton,-33.65,115.3333,46.09,66,93,12.39,AU,2021-07-27 17:49:43,Clouds
10,Arraial Do Cabo,-22.9661,-42.0278,91.36,45,0,13.8,BR,2021-07-27 17:49:44,Clear
11,Puerto Ayora,-0.7393,-90.3518,78.76,68,55,10.25,EC,2021-07-27 17:49:44,Clouds
12,Hithadhoo,-0.6,73.0833,81.07,78,98,7.49,MV,2021-07-27 17:49:44,Rain
13,Atuona,-9.8,-139.0333,78.15,66,32,21.05,PF,2021-07-27 17:49:44,Clouds
14,Georgetown,5.4112,100.3354,83.89,86,20,0.0,MY,2021-07-27 17:49:45,Clouds
15,Paamiut,61.994,-49.6678,45.57,77,84,16.93,GL,2021-07-27 17:49:45,Clouds
16,Bubaque,11.2833,-15.8333,81.18,79,55,9.08,GW,2021-07-27 17:49:45,Clouds
17,Tortoli,39.9256,9.6572,84.97,78,0,13.8,IT,2021-07-27 17:49:45,Clear
18,Kodiak,57.79,-152.4072,54.91,76,1,4.61,US,2021-07-27 17:44:53,Clear
19,Mount Gambier,-37.8333,140.7667,53.51,76,90,21.85,AU,2021-07-27 17:49:46,Rain
20,Gat,31.61,34.7642,83.8,66,0,6.76,IL,2021-07-27 17:47:27,Clear
21,Longyearbyen,78.2186,15.6401,46.24,87,75,11.5,SJ,2021-07-27 17:49:46,Clouds
22,Kautokeino,69.0125,23.0412,68.29,65,29,15.17,NO,2021-07-27 17:49:46,Clouds
23,Bredasdorp,-34.5322,20.0403,61.92,51,42,20.71,ZA,2021-07-27 17:49:47,Rain
24,Narsaq,60.9167,-46.05,59.22,55,99,8.81,GL,2021-07-27 17:49:47,Clouds
25,Shingu,33.7333,135.9833,77.92,82,97,5.5,JP,2021-07-27 17:49:47,Clouds
26,Gamba,-2.65,10.0,73.24,87,66,7.74,GA,2021-07-27 17:45:07,Clouds
27,Vestmannaeyjar,63.4427,-20.2734,56.39,82,40,5.75,IS,2021-07-27 17:49:47,Clouds
28,Roald,62.5833,6.1333,72.52,77,0,11.5,NO,2021-07-27 17:49:48,Clear
29,Sumbe,-11.2061,13.8437,71.6,87,80,9.01,AO,2021-07-27 17:49:48,Clouds
30,Luderitz,-26.6481,15.1594,58.12,76,0,10.92,NA,2021-07-27 17:49:48,Clear
31,Carnarvon,-24.8667,113.6333,57.27,58,40,6.91,AU,2021-07-27 17:49:49,Clouds
32,Rikitea,-23.1203,-134.9692,74.28,77,97,14.72,PF,2021-07-27 17:49:49,Clouds
33,Qaanaaq,77.484,-69.3632,42.91,97,83,3.98,GL,2021-07-27 17:49:49,Clouds
34,Muroto,33.2833,134.15,79.0,81,88,4.03,JP,2021-07-27 17:49:49,Clouds
35,Santa Rosalia,27.3167,-112.2833,88.81,46,0,9.57,MX,2021-07-27 17:49:50,Clear
36,Sabzevar,36.2126,57.6819,83.77,17,0,27.83,IR,2021-07-27 17:49:50,Clear
37,Allapalli,19.4167,80.0667,76.62,88,99,3.0,IN,2021-07-27 17:49:50,Rain
38,Turayf,31.6725,38.6637,95.25,20,0,11.5,SA,2021-07-27 17:46:27,Clear
39,Bluff,-46.6,168.3333,48.79,71,75,21.12,NZ,2021-07-27 17:49:51,Clouds
40,Marsaxlokk,35.8419,14.5431,84.81,65,0,3.44,MT,2021-07-27 17:49:51,Clear
41,Clyde River,70.4692,-68.5914,55.63,67,75,6.91,CA,2021-07-27 17:46:38,Clouds
42,Tasiilaq,65.6145,-37.6368,42.96,82,49,5.39,GL,2021-07-27 17:49:51,Clouds
43,Araouane,18.9048,-3.5265,105.58,16,97,11.52,ML,2021-07-27 17:49:51,Clouds
44,Chuy,-33.6971,-53.4616,49.1,52,8,17.27,UY,2021-07-27 17:49:52,Clear
45,Punta Arenas,-53.15,-70.9167,42.91,93,75,10.36,CL,2021-07-27 17:47:09,Rain
46,Portland,45.5234,-122.6762,80.46,66,75,1.99,US,2021-07-27 17:49:52,Clouds
47,Cockburn Town,21.4612,-71.1419,85.96,66,40,12.66,TC,2021-07-27 17:46:06,Clouds
48,Kapoeta,4.7717,33.5903,76.57,65,93,9.46,SS,2021-07-27 17:49:52,Clouds
49,Leningradskiy,69.3833,178.4167,35.69,98,100,5.84,RU,2021-07-27 17:49:52,Rain
50,Albany,42.6001,-73.9662,87.8,57,21,4.65,US,2021-07-27 17:49:53,Clouds
51,Ornskoldsvik,63.2909,18.7153,77.95,44,0,5.75,SE,2021-07-27 17:49:53,Clear
52,Lata,40.1629,-8.3327,81.05,53,0,11.48,PT,2021-07-27 17:49:53,Clear
53,Hilo,19.7297,-155.09,74.93,91,90,3.44,US,2021-07-27 17:47:53,Rain
54,Njombe,-9.3333,34.7667,46.69,67,3,4.85,TZ,2021-07-27 17:49:54,Clear
55,Palmer,42.1584,-72.3287,90.45,50,20,1.01,US,2021-07-27 17:49:54,Clouds
56,Dikson,73.5069,80.5464,54.46,94,100,17.63,RU,2021-07-27 17:46:00,Clouds
57,Hasaki,35.7333,140.8333,73.8,75,85,12.26,JP,2021-07-27 17:49:54,Rain
58,Mar Del Plata,-38.0023,-57.5575,51.01,61,90,11.99,AR,2021-07-27 17:49:54,Clouds
59,Mataura,-46.1927,168.8643,48.47,93,96,1.7,NZ,2021-07-27 17:49:32,Clouds
60,Yevlax,40.6089,47.1492,89.58,48,40,12.66,AZ,2021-07-27 17:49:55,Clouds
61,Sao Joao Da Barra,-21.6403,-41.0511,84.29,67,0,14.07,BR,2021-07-27 17:49:55,Clear
62,Pokaran,26.9167,71.9167,86.38,68,100,20.24,IN,2021-07-27 17:49:55,Clouds
63,Malumfashi,11.7853,7.6218,70.99,86,99,12.86,NG,2021-07-27 17:49:55,Clouds
64,Airai,-8.9266,125.4092,56.91,74,36,2.53,TL,2021-07-27 17:49:56,Clouds
65,Altamira,-3.2033,-52.2064,95.09,46,75,6.91,BR,2021-07-27 17:49:56,Clouds
66,Eenhana,-17.4667,16.3333,67.75,25,0,6.64,NA,2021-07-27 17:49:56,Clear
67,Kutum,14.2,24.6667,76.26,65,82,8.86,SD,2021-07-27 17:49:57,Clouds
68,Saint George,37.1041,-113.5841,90.63,55,1,1.99,US,2021-07-27 17:47:06,Clear
69,Nanzhang,31.7765,111.8386,75.65,87,6,6.51,CN,2021-07-27 17:49:57,Clear
70,Roros,62.5747,11.3842,69.64,52,75,12.66,NO,2021-07-27 17:49:57,Clouds
71,Andenes,69.3143,16.1194,61.07,93,90,10.36,NO,2021-07-27 17:49:57,Fog
